rating,customerID,date,productID,quantityBought
1,32892,14/06/2021,1,2
2,32892,14/06/2021,1,2
3,32892,14/06/2021,1,1
2,32892,14/06/2021,1,1
3,32892,14/06/2021,1,1
3,32892,14/06/2021,1,1
1,32892,14/06/2021,1,1
3,85818,14/06/2021,1,1
3,85818,14/06/2021,1,1
3,85818,14/06/2021,2,3
4,88782,14/06/2021,2,1
5,69100,14/06/2021,2,1
5,69100,14/06/2021,2,1
4,64953,15/06/2021,2,1
2,64953,15/06/2021,5,1
2,64953,15/06/2021,5,1
5,64953,15/06/2021,7,1
4,77267,15/06/2021,7,1
5,77267,15/06/2021,7,1
3,77267,15/06/2021,7,1
3,77267,15/06/2021,8,1
4,53763,15/06/2021,8,1
5,53763,15/06/2021,8,3
5,61624,15/06/2021,8,1
3,61624,15/06/2021,8,1
4,69100,15/06/2021,8,1
3,69100,15/06/2021,8,1
5,69100,15/06/2021,8,1
3,49427,15/06/2021,12,1
4,49427,15/06/2021,12,1
5,49427,15/06/2021,12,1
5,68218,15/06/2021,12,1
4,69100,15/06/2021,12,1
3,69100,15/06/2021,12,1
5,69100,15/06/2021,12,1
5,23975,15/06/2021,12,1
5,23975,15/06/2021,12,1
5,23975,15/06/2021,12,1
3,16998,15/06/2021,12,1
5,16998,15/06/2021,12,1
5,16998,15/06/2021,12,1
4,78820,15/06/2021,12,1
4,78820,15/06/2021,12,1
3,77815,15/06/2021,12,1
4,88792,15/06/2021,12,1
4,88792,15/06/2021,12,1
4,88792,15/06/2021,12,1
3,88791,15/06/2021,13,1
4,88791,15/06/2021,13,1
3,88791,15/06/2021,13,1
4,88791,15/06/2021,13,1
5,88791,15/06/2021,13,1
5,88791,15/06/2021,13,1
5,69100,15/06/2021,13,1
5,69100,15/06/2021,13,1
5,69100,15/06/2021,15,1
3,69100,15/06/2021,15,1
5,69100,15/06/2021,18,1
4,69100,15/06/2021,18,2
5,88791,15/06/2021,18,1
5,88791,15/06/2021,18,1
4,88791,15/06/2021,18,1
3,88793,16/06/2021,18,1
5,88793,16/06/2021,18,1
5,74591,16/06/2021,18,1
5,74591,16/06/2021,18,1
3,74591,16/06/2021,18,1
5,78420,16/06/2021,18,1
4,88733,16/06/2021,18,1
4,88733,16/06/2021,18,1
3,88733,16/06/2021,18,1
4,88733,16/06/2021,18,1
5,88733,16/06/2021,18,1
3,88733,16/06/2021,18,1
3,88733,16/06/2021,18,1
3,88797,16/06/2021,18,1
4,35431,16/06/2021,18,2
4,87451,16/06/2021,18,1
4,87451,16/06/2021,18,1
3,87451,16/06/2021,18,1
4,53763,15/06/2021,18,1
4,53763,15/06/2021,18,1
3,88497,15/06/2021,18,1
5,88497,15/06/2021,18,1
5,88497,15/06/2021,18,3
5,88497,15/06/2021,18,1
5,88789,15/06/2021,18,2
5,88789,15/06/2021,18,1
5,88789,15/06/2021,18,2
5,88789,15/06/2021,18,1
4,88789,15/06/2021,18,1
5,88789,15/06/2021,18,1
4,88789,15/06/2021,18,1
3,88789,15/06/2021,18,3
4,63489,15/06/2021,18,1
